StudentID,FullName,Gender,DOB,DepartmentID,Level,EntryYear
STU_500084,Vanessa Lane,Male,2005-11-20,DEPT_001,200,2023
STU_200085,Dawn Roberts,Female,2008-04-18,DEPT_004,100,2024
STU_400086,Marion Anews,Female,2005-07-15,DEPT_005,400,2021
STU_200087,Kyle McKenzie,Male,2002-06-08,DEPT_006,100,2024
STU_500088,Jason O'Brien,Female,2002-04-02,DEPT_001,500,2020
STU_300089,Paul Steele,Male,1997-10-05,DEPT_006,500,2020
STU_500090,Aian Tomlinson,Female,1997-01-22,DEPT_002,400,2021
STU_400091,Sana Freeman-Payne,Male,1996-01-15,DEPT_004,300,2022
STU_500092,Victor Johnson-Palmer,Male,1999-09-24,DEPT_001,200,2023
STU_300093,Emma Stevens,Female,1999-07-07,DEPT_006,100,2024
STU_500094,Leanne Bennett,Male,2003-08-12,DEPT_003,100,2024
STU_500095,Marian Harding,Female,1999-01-13,DEPT_005,300,2022
STU_300096,Barry Cook,Female,2005-01-05,DEPT_006,500,2020
STU_300097,Hazel Khan,Female,1999-12-26,DEPT_001,100,2024
STU_200098,Beverley Jones,Female,1997-07-22,DEPT_004,100,2024
STU_300099,Lorraine Brookes,Male,1994-07-05,DEPT_006,200,2023
STU_300100,Julie Cross,Male,2006-04-06,DEPT_004,500,2020
STU_400101,Alex Nelson,Female,2007-05-07,DEPT_005,500,2020
STU_400102,Joan Daly-Bennett,Female,1998-09-11,DEPT_002,400,2021
STU_500103,Josephine Smith,Female,1997-08-03,DEPT_002,300,2022
STU_500104,Maria Smith,Female,1998-02-02,DEPT_001,200,2023
STU_500105,Yvonne Wallis,Male,2002-11-27,DEPT_004,100,2024
STU_400106,Clifford Chapman,Female,1996-02-28,DEPT_006,500,2020
STU_300107,Julian Allen,Male,2007-05-04,DEPT_006,500,2020
STU_300108,Justin Brown-Bennett,Male,2001-04-04,DEPT_001,400,2021
STU_200109,Nathan Farrell,Female,2000-04-13,DEPT_002,200,2023
STU_300110,Adam Bailey,Male,2000-06-04,DEPT_003,300,2022
STU_100111,Mohammad Cooke,Male,2006-02-06,DEPT_002,200,2023
STU_300112,Leigh Potter,Female,2000-01-19,DEPT_005,500,2020
STU_500113,Toby Cooper,Male,1995-09-08,DEPT_004,400,2021
STU_100114,Robert Jenkins,Female,2006-01-06,DEPT_003,200,2023
STU_500115,Lesley Marsh,Female,2002-06-06,DEPT_005,100,2024
STU_500116,Antony Martin,Female,2005-06-22,DEPT_006,100,2024
STU_300117,Judith Reid,Female,2000-12-09,DEPT_006,500,2020
STU_200118,Martyn Stokes,Female,2003-12-09,DEPT_001,100,2024
STU_400119,Donna Payne,Male,2002-05-29,DEPT_001,300,2022
STU_300120,Abbie Wells,Male,2000-07-01,DEPT_004,300,2022
STU_300121,Jade Connolly,Female,1997-04-29,DEPT_001,100,2024
STU_300122,Craig Moore,Female,2008-04-18,DEPT_005,500,2020
STU_400123,Ross Forster,Female,2005-03-31,DEPT_002,500,2020
STU_300124,Olivia Rose,Male,2005-02-11,DEPT_005,400,2021
STU_500125,Ben Barnes,Female,1998-05-30,DEPT_004,300,2022
STU_400126,Russell Fletcher,Female,2005-08-29,DEPT_006,200,2023
STU_300127,Jacob Brown,Male,1998-11-02,DEPT_005,100,2024
STU_100128,Nicola Read-Lord,Female,2004-04-23,DEPT_004,100,2024
STU_100129,Mark Smith,Female,2007-05-21,DEPT_006,300,2022
STU_500130,Jack Butcher,Male,1994-12-04,DEPT_003,500,2020
STU_300131,Joe Mitchell,Female,2007-02-14,DEPT_002,100,2024
STU_400132,Joanne Barrett,Female,1995-04-07,DEPT_001,100,2024
STU_400133,Jacob Kirby,Male,1994-06-21,DEPT_001,200,2023
STU_200134,Mark Lynch,Female,2007-05-28,DEPT_001,500,2020
STU_200135,Stephanie Martin,Male,1997-07-29,DEPT_006,500,2020
STU_100136,Gareth Wyatt,Female,2003-04-10,DEPT_003,400,2021
STU_500137,Michael Moore,Male,2001-07-16,DEPT_003,300,2022
STU_300138,Bruce West,Male,2001-07-20,DEPT_004,200,2023
STU_200139,Jordan Brown,Male,2002-09-27,DEPT_004,100,2024
STU_500140,Timothy Barnett,Male,2006-10-28,DEPT_001,500,2020
STU_100141,Diane Thompson,Male,1998-06-10,DEPT_003,500,2020
STU_400142,Iain Kaur,Female,2001-06-13,DEPT_005,400,2021
STU_200143,Emily Harrison,Male,1997-10-11,DEPT_004,200,2023
STU_100144,Emily Blake-Gregory,Female,2005-12-28,DEPT_003,300,2022
STU_400145,Elizabeth Lewis,Male,2006-08-31,DEPT_001,200,2023
STU_200146,Joshua Storey,Male,1997-02-11,DEPT_001,500,2020
STU_500147,Tony Richardson,Male,2004-04-10,DEPT_003,400,2021
STU_400148,Stuart Owen-Cooper,Female,2003-12-14,DEPT_003,200,2023
STU_200149,Sally King,Female,1996-10-13,DEPT_006,100,2024
STU_100150,Katherine Singh,Male,1995-05-07,DEPT_001,100,2024
STU_400151,Pauline Edwards,Male,2002-01-30,DEPT_005,500,2020
STU_200152,Kathleen Hughes,Female,1996-11-15,DEPT_006,100,2024
STU_400153,Helen O'Brien,Male,2006-10-16,DEPT_005,500,2020
STU_500154,Leslie O'Donnell,Female,1996-12-07,DEPT_002,200,2023
STU_100155,Bethan Allan,Male,1997-01-17,DEPT_005,200,2023
STU_400156,Jemma Riley,Male,1999-08-28,DEPT_005,100,2024
STU_200157,Damien Howard,Female,1999-12-24,DEPT_006,500,2020
STU_500158,Colin Ward,Female,2000-06-10,DEPT_003,500,2020
STU_300159,Matthew Day,Male,2002-09-11,DEPT_005,400,2021
STU_400160,Leon Poole,Female,1999-08-16,DEPT_003,300,2022
STU_200161,Sian Allen,Male,1997-01-07,DEPT_001,200,2023
STU_100162,Trevor Porter-Marshall,Female,2000-02-05,DEPT_002,100,2024
STU_300163,Jenna Mason-Grant,Female,2005-03-19,DEPT_002,100,2024
STU_200164,Bernard Miller,Female,1996-05-11,DEPT_006,300,2022
STU_500165,Brian Barnes,Female,1998-05-07,DEPT_005,500,2020
STU_300166,Malcolm Hall,Male,2005-04-16,DEPT_001,100,2024
STU_500167,Jordan Freeman-Thornton,Male,2007-05-29,DEPT_002,100,2024
STU_300168,Kathryn Clark,Female,1996-01-10,DEPT_006,200,2023
STU_300169,Eric Thompson,Male,2007-12-19,DEPT_001,500,2020
STU_300170,Margaret Cooke,Female,2008-03-03,DEPT_003,500,2020
STU_100171,Amy Read,Male,2003-02-23,DEPT_001,400,2021
STU_400172,Holly Dale-Sheppard,Male,2005-12-26,DEPT_001,300,2022
STU_500173,Glenn Mitchell,Male,1997-02-26,DEPT_002,200,2023
STU_500174,Alex Jones,Male,2001-10-09,DEPT_001,100,2024
STU_500175,Debra Hughes,Male,2008-04-20,DEPT_001,500,2020
STU_500176,Yvonne Thomas,Female,1994-10-01,DEPT_003,500,2020
STU_300177,Henry Sanders,Male,1999-09-19,DEPT_004,400,2021
STU_400178,Graham Lee,Female,2000-01-09,DEPT_006,200,2023
STU_500179,Trevor Pratt,Female,2001-08-26,DEPT_005,300,2022
STU_200180,Jordan Morris-Ryan,Male,2005-08-24,DEPT_005,200,2023
STU_400181,Robin Noble,Male,1999-02-28,DEPT_002,500,2020
STU_300182,Terence Taylor,Female,2006-09-29,DEPT_003,400,2021
STU_200183,Nathan Bennett,Male,2001-03-29,DEPT_003,200,2023
STU_200184,Connor Green-Carr,Male,2006-02-07,DEPT_004,100,2024
STU_200185,Alison Newman,Male,2001-08-31,DEPT_005,100,2024
STU_200186,Victor Ada-Tomlinson,Male,2001-01-28,DEPT_006,500,2020
STU_200187,Ellie Holden-Jones,Male,1997-07-04,DEPT_003,100,2024
STU_300188,Antony Jones,Female,2001-11-15,DEPT_002,500,2020
STU_200189,Lindsey Young,Female,2002-08-31,DEPT_002,500,2020
STU_400190,Jonathan Kerr,Male,2000-03-14,DEPT_003,500,2020
STU_500191,Marie Green,Female,2007-11-23,DEPT_005,400,2021
STU_200192,Ashleigh Dixon-Turner,Male,2005-12-18,DEPT_001,500,2020
STU_400193,Eileen Payne,Female,1999-06-15,DEPT_001,500,2020
STU_200194,Joe O'Brien,Male,2001-03-28,DEPT_003,400,2021
STU_100195,Francis Jones,Female,1997-01-03,DEPT_003,300,2022
STU_300196,Gerard Rees,Female,2004-07-11,DEPT_006,200,2023
STU_400197,Grace Sharpe-Shepherd,Female,2006-08-26,DEPT_004,100,2024
STU_100198,Dean Hewitt-Pratt,Female,2006-03-14,DEPT_005,100,2024
STU_100199,Jade Warren,Female,1997-06-30,DEPT_005,300,2022
STU_200200,John Newton,Female,1994-10-25,DEPT_006,500,2020
STU_400201,Nicola Turner,Male,1995-04-15,DEPT_002,100,2024
STU_100202,Graeme Gardner,Female,2002-11-26,DEPT_001,100,2024
STU_400203,Clive Clark,Female,2002-03-18,DEPT_005,200,2023
STU_500204,Guy Webb,Male,1998-04-03,DEPT_001,500,2020
STU_300205,Kimberley Woods,Female,2002-08-21,DEPT_001,500,2020
STU_200206,Victor Thomas,Male,2004-12-23,DEPT_005,400,2021
STU_500207,Deborah Jones,Male,2004-10-29,DEPT_003,300,2022
STU_300208,Molly Palmer,Female,1996-11-21,DEPT_001,200,2023
STU_200209,Jayne Freeman,Female,1999-01-08,DEPT_006,100,2024
STU_400210,Denise Parkin-Martin,Male,2002-05-16,DEPT_004,500,2020
STU_200211,Elaine Cook,Male,2004-01-12,DEPT_001,500,2020
STU_400212,Susan Jones,Female,1998-04-08,DEPT_003,400,2021
STU_400213,Lynda Brown,Female,2002-07-06,DEPT_005,200,2023
STU_400214,Stanley Hill,Female,2006-10-30,DEPT_001,300,2022
STU_200215,Mathew Gill-Cox,Female,2002-01-04,DEPT_002,200,2023
STU_300216,Daniel Goddard,Male,2004-12-21,DEPT_004,500,2020
STU_200217,Cheryl Hunter,Female,1996-01-15,DEPT_006,400,2021
STU_200218,Dorothy Khan,Female,1994-10-08,DEPT_005,200,2023
STU_400219,Phillip Willia-O'Donnell,Male,1999-10-01,DEPT_005,100,2024
STU_300220,Carole Martin,Female,2007-04-06,DEPT_003,100,2024
STU_100221,John Ada,Female,1996-01-23,DEPT_001,500,2020
STU_500222,Ben Pearson,Female,1997-10-08,DEPT_005,100,2024
STU_400223,Wayne Rogers,Female,2002-10-17,DEPT_006,100,2024
STU_400224,Annette Ross,Female,1997-09-20,DEPT_003,500,2020
STU_300225,Jonathan Hussain,Female,1999-02-05,DEPT_001,100,2024
STU_400226,Carl Bond,Female,1995-08-05,DEPT_006,100,2024
STU_300227,Jeffrey Day,Female,2004-04-02,DEPT_004,300,2022
STU_100228,Alexana Cunningham,Female,2007-12-25,DEPT_001,500,2020
STU_500229,Reece Briggs,Female,1995-02-01,DEPT_001,500,2020
STU_300230,Harriet Mason,Female,2005-07-27,DEPT_004,400,2021
STU_200231,Katy White,Female,2000-03-14,DEPT_006,200,2023
STU_200232,Samantha Wright,Male,2007-03-22,DEPT_002,300,2022
STU_100233,Edward Miles,Male,2001-03-14,DEPT_003,400,2021
STU_500234,Judith Bradley,Female,1994-07-03,DEPT_001,100,2024
STU_300235,Bethan Evans-Green,Female,2004-11-09,DEPT_006,100,2024
STU_300236,Jake Davis,Male,1995-04-28,DEPT_006,100,2024
STU_500237,Naomi Potter,Male,2005-08-18,DEPT_002,400,2021
STU_400238,Geoffrey Shaw,Male,2005-05-15,DEPT_004,400,2021
STU_500239,Conor Harvey,Female,1998-07-01,DEPT_005,500,2020
STU_200240,Linda Hudson,Female,2002-07-05,DEPT_002,200,2023
